comment,label
You are a complete moron.,1
I hope you have a wonderful day!,0
This is the worst thing ever.,1
Great work on the project!,0
Nobody wants you here.,1
Thanks so much for your help.,0
You always ruin everything.,1
Such a pleasure to work with you.,0
You're pathetic.,1
Looking forward to our meeting.,0
Why are you even alive?,1
Nice to meet you!,0
This is garbage and so are you.,1
Good luck on your exam!,0
You make everything worse.,1
I appreciate your honesty.,0
Stop being so annoying.,1
Let's catch up soon!,0
You're the worst person I know.,1
Happy birthday! ??,0
I seriously hate you.,1
It was really nice seeing you.,0
You're just a burden.,1
Thanks again for your time.,0
You disgust me.,1
Have a safe trip home!,0
Everything you do is terrible.,1
You're really talented!,0
You should just quit.,1
You're a great friend.,0
"Wow, you are really good at making everyone around you uncomfortable",1
"Oh, great job! I have never seen anyone mess up that badly before.",1
"Yeah, because that is exactly what we needed. More of your genius ideas.",1
"Oh, great job! I have never seen anyone mess up that badly before. Truly impressive.",1
"Oh, you are amazing! Just like a broken clock.",1
"What a surprise, you have done it again. Failed spectacularly!",1
"You have got this! I mean, not really.",1
"I love how you always have the perfect solution. Just kidding, you have no idea what you are doing.",1
"Oh, that was a brilliant move. I can not believe no one thought of that before.",1
"Perfect, just what we needed! Another suggestion from the person who always gets it wrong.",1
"Oh, sure! Because nothing says great idea like a suggestion from you.",0
"You really outdid yourself this time! I am amazed, truly.",0
"Wow, that is such a great solution. I can not believe no one else thought of it before.",0
Great job! It is not like I could have figured that out on my own.,0
